frame,time,x,y,heading,v_x,v_y,yaw_rate
286,1642495882.618567,-13.984920,26.288706,0.901812,2.225303,-0.126344,4.260000
287,1642495882.657086,-13.931751,26.360605,0.905128,2.232276,-0.102505,4.960000
288,1642495882.696974,-13.878611,26.431395,0.908444,2.220984,-0.127889,4.760000
289,1642495882.736985,-13.826341,26.503318,0.911585,2.223552,-0.160550,4.250000
290,1642495882.777132,-13.775813,26.577506,0.914553,2.243517,-0.177802,3.960000
291,1642495882.836979,-13.699122,26.688766,0.918392,2.242879,-0.180775,3.710000
292,1642495882.876975,-13.647694,26.762931,0.921010,2.252166,-0.171558,3.730000
293,1642495882.916974,-13.596267,26.837096,0.923628,2.279806,-0.166161,3.730000
294,1642495882.957012,-13.544810,26.912370,0.926421,2.284660,-0.160598,3.870000
295,1642495882.996974,-13.493354,26.987645,0.929213,2.266307,-0.157653,4.010000
296,1642495883.036982,-13.442798,27.062943,0.932006,2.258414,-0.167563,4.020000
297,1642495883.076983,-13.392241,27.138241,0.934624,2.263498,-0.168816,3.880000
298,1642495883.116979,-13.341713,27.212429,0.937242,2.267206,-0.170258,3.550000
299,1642495883.176979,-13.267662,27.325977,0.940558,2.243376,-0.194465,3.100000
300,1642495883.216970,-13.218905,27.401322,0.942827,2.239167,-0.173644,3.330000
301,1642495883.256981,-13.169248,27.476643,0.945270,2.233821,-0.136871,3.790000
302,1642495883.296977,-13.118777,27.548612,0.948063,2.219448,-0.123737,4.070000
303,1642495883.336972,-13.070048,27.622847,0.950855,2.212120,-0.140326,3.950000
304,1642495883.376985,-13.021319,27.697082,0.953473,2.213109,-0.150923,3.790000
305,1642495883.416978,-12.973490,27.771340,0.956266,2.213762,-0.146136,3.950000
306,1642495883.456978,-12.924761,27.845575,0.959058,2.209005,-0.135115,4.200000
307,1642495883.516991,-12.851667,27.956928,0.963596,2.233092,-0.143849,4.160000
308,1642495883.556983,-12.803809,28.032295,0.966389,2.255761,-0.149351,3.980000
309,1642495883.597115,-12.755023,28.108749,0.969181,2.262863,-0.140368,4.080000
310,1642495883.637061,-12.707136,28.185227,0.972148,2.265895,-0.147550,4.110000
311,1642495883.676977,-12.658321,28.262790,0.975115,2.276522,-0.148948,4.170000
312,1642495883.717774,-12.609534,28.339244,0.977908,2.287693,-0.153459,4.060000
313,1642495883.756978,-12.561590,28.417940,0.980701,2.285560,-0.174245,3.810000
314,1642495883.817057,-12.491052,28.534910,0.984715,2.264846,-0.144864,4.290000
315,1642495883.856992,-12.443165,28.611388,0.988031,2.269319,-0.107655,4.960000
316,1642495883.896974,-12.393508,28.686709,0.991696,2.258850,-0.095827,5.170000
317,1642495883.936986,-12.345621,28.763186,0.995187,2.246561,-0.100025,4.990000
318,1642495883.976982,-12.298633,28.839686,0.998328,2.244062,-0.126851,4.560000
319,1642495884.016987,-12.253416,28.917343,1.001295,2.239909,-0.145797,4.180000
320,1642495884.056996,-12.207300,28.994977,1.004262,2.246238,-0.142907,4.090000
321,1642495884.116990,-12.139546,29.108688,1.008277,2.246444,-0.141944,4.020000
322,1642495884.156983,-12.094300,29.187454,1.011069,2.248864,-0.119242,4.090000
323,1642495884.196977,-12.048184,29.265087,1.014036,2.253436,-0.105777,4.120000
324,1642495884.236997,-12.002067,29.342721,1.016829,2.262271,-0.114179,3.950000
325,1642495884.276979,-11.956850,29.420377,1.019621,2.257930,-0.109697,3.910000
326,1642495884.316972,-11.909863,29.496878,1.022414,2.253818,-0.097182,3.990000
