frame,time,x,y,heading,v_x,v_y,yaw_rate
185,1642496179.276978,-22.541802,18.317789,0.655546,1.707302,-0.064641,1.400000
186,1642496179.316978,-22.490279,18.360865,0.656593,1.726278,-0.071007,1.440000
187,1642496179.356976,-22.436029,18.404980,0.657640,1.757249,-0.061761,1.290000
188,1642496179.396981,-22.380009,18.447939,0.658513,1.778685,-0.032304,1.380000
189,1642496179.436992,-22.323090,18.490875,0.659385,1.777941,-0.019962,1.190000
190,1642496179.497008,-22.241279,18.556481,0.660433,1.795914,-0.062403,0.620000
191,1642496179.536971,-22.184302,18.601636,0.660782,1.822070,-0.069326,0.440000
192,1642496179.577005,-22.126454,18.645658,0.661131,1.826830,-0.065005,0.290000
193,1642496179.617001,-22.069477,18.690813,0.661305,1.817988,-0.084247,0.210000
194,1642496179.656987,-22.012500,18.735967,0.661480,1.821339,-0.091471,0.550000
195,1642496179.696980,-21.958193,18.782302,0.662178,1.830505,-0.074227,1.060000
196,1642496179.737000,-21.901216,18.827456,0.662876,1.815905,-0.070432,1.260000
197,1642496179.777016,-21.844238,18.872611,0.663749,1.797506,-0.085825,1.310000
198,1642496179.836984,-21.761443,18.941523,0.665145,1.803117,-0.096799,1.430000
199,1642496179.877051,-21.705365,18.986701,0.666192,1.803441,-0.087104,1.620000
200,1642496179.917010,-21.651928,19.034168,0.667239,1.796176,-0.087190,1.610000
201,1642496179.956975,-21.595851,19.079346,0.668287,1.810683,-0.101957,1.520000
202,1642496179.996974,-21.540615,19.126767,0.669334,1.822388,-0.092159,1.760000
203,1642496180.037027,-21.483609,19.173031,0.670730,1.821809,-0.071027,1.950000
204,1642496180.076977,-21.427503,19.219318,0.671952,1.822463,-0.088793,1.700000
205,1642496180.116976,-21.372239,19.267848,0.672999,1.843760,-0.107068,1.580000
206,1642496180.176989,-21.285787,19.338886,0.675268,1.883944,-0.037582,2.580000
207,1642496180.216961,-21.226954,19.386213,0.677188,1.871970,-0.026967,2.690000
208,1642496180.256986,-21.168149,19.432431,0.678933,1.859493,-0.054362,2.440000
209,1642496180.296986,-21.111956,19.482047,0.680504,1.888630,-0.079386,2.160000
210,1642496180.336998,-21.053993,19.530507,0.681900,1.898723,-0.096980,1.750000
211,1642496180.377138,-20.996002,19.580077,0.683122,1.876673,-0.095940,1.710000
212,1642496180.417011,-20.938938,19.628560,0.684344,1.853013,-0.089814,1.910000
213,1642496180.457030,-20.882803,19.675957,0.685740,1.860454,-0.085116,2.310000
214,1642496180.517056,-20.798093,19.749260,0.688183,1.838445,-0.089771,2.280000
215,1642496180.557183,-20.742829,19.797790,0.689754,1.825932,-0.107690,2.170000
216,1642496180.596995,-20.687565,19.846320,0.691325,1.828383,-0.110720,2.380000
217,1642496180.637030,-20.632300,19.894850,0.692896,1.838790,-0.112348,2.430000
218,1642496180.676984,-20.577007,19.944489,0.694641,1.844872,-0.122455,2.290000
219,1642496180.716970,-20.521686,19.995238,0.696037,1.833404,-0.130905,2.110000
220,1642496180.756983,-20.467292,20.044901,0.697608,1.831702,-0.133536,2.260000
221,1642496180.796976,-20.413798,20.094587,0.699353,1.843812,-0.124266,2.630000
222,1642496180.856975,-20.330859,20.169046,0.702320,1.845405,-0.112512,2.760000
223,1642496180.897048,-20.275537,20.219795,0.704066,1.842654,-0.136719,2.260000
224,1642496180.937063,-20.222014,20.270591,0.705637,1.849802,-0.135798,2.170000
225,1642496180.976976,-20.166692,20.321340,0.707382,1.851173,-0.090811,2.800000
226,1642496181.016991,-20.111428,20.369869,0.709651,1.846552,-0.038023,3.510000
227,1642496181.056999,-20.054393,20.417243,0.712094,1.846607,-0.024292,3.610000
228,1642496181.097054,-19.997330,20.465727,0.714538,1.854734,-0.045872,3.070000
229,1642496181.136981,-19.942037,20.515366,0.716283,1.864312,-0.079442,2.210000
230,1642496181.197000,-19.859040,20.592044,0.718203,1.873566,-0.109075,1.610000
231,1642496181.236990,-19.803718,20.642793,0.719425,1.870210,-0.095218,2.030000
232,1642496181.277720,-19.748397,20.693542,0.720996,1.876822,-0.079942,2.490000
233,1642496181.317001,-19.692147,20.745377,0.722915,1.892364,-0.090763,2.530000
234,1642496181.357174,-19.636796,20.797236,0.724486,1.901499,-0.114551,2.340000
235,1642496181.396978,-19.581417,20.850204,0.726057,1.893772,-0.137303,2.090000
236,1642496181.436993,-19.526937,20.903195,0.727628,1.891162,-0.134165,2.220000
237,1642496181.476977,-19.472457,20.956186,0.729199,1.897018,-0.131512,2.360000
